route_distance_km,route_historical_delay_rate,truck_health_score,truck_age_days,driver_delay_rate,weather_rain_mm,is_friday,is_night_trip,fastag_balance,eway_hours_remaining,load_weight_quintal,was_delayed,actual_delay_hours
195,0.1486754349234912,89,788,0.20915359422029428,0,True,True,3643.327813250859,37.261597220975595,375.84092464497326,False,0.0
147,0.29290176277326263,51,2265,0.1889523717791166,0,False,False,1810.9009124505515,24.429032106533086,131.71853871482293,True,2.2
232,0.14915582002544914,89,2636,0.23867991910969605,0,False,True,1898.0849093101654,16.324518139073255,607.0102693715837,True,4.8
1403,0.1727508317734045,66,2672,0.37241186468899556,30,False,True,1077.2042709117277,41.91864382581938,106.98110672700561,True,3.3
238,0.3371967829104403,60,1850,0.15379730386630472,15,False,False,2350.6691205695793,47.360748927889986,441.13680535785613,True,2.5
93,0.21459735398244273,78,1828,0.3545187764761556,30,False,False,3825.703356374918,47.59723687181559,614.1170725975202,False,0.0
238,0.31384587016418464,90,2066,0.14360281915995726,5,True,False,2326.043259242565,42.95324136198522,162.55997125974574,False,0.0
188,0.19671732137204828,67,1222,0.22806551810511222,0,False,True,1476.4116309318333,31.829306855059134,756.0039248533927,False,0.0
160,0.1673156331238735,99,1878,0.23992792516130873,50,False,False,1324.4781378996156,20.59737493121728,605.960678317844,False,0.0
201,0.21312149157988905,42,2563,0.04542962612037447,0,False,True,2905.321187310102,35.07893704791705,749.5154612070614,False,0.0
321,0.19190064338614427,92,2648,0.17040043990778037,0,False,False,1017.3373492927296,7.047068756424501,403.1287094774555,True,2.7
518,0.38071638910115446,32,1279,0.1301050269278942,15,False,False,1857.571398775169,37.479270291780345,309.1848589823057,False,0.0
183,0.379169344554136,32,1013,0.3061876181337943,30,True,False,279.32727806370906,8.890184520332136,742.1099870866462,True,3.1
337,0.38767591124803424,59,743,0.03995287271438013,5,False,True,3706.873770746903,9.012004995893438,465.0192218230357,False,0.0
579,0.3096520785447353,76,596,0.08065004832091396,30,False,False,469.1721614438977,22.176001011486598,653.564261127003,False,0.0
152,0.1809133873266538,58,991,0.03886171709745754,30,True,False,478.4711932055817,12.691324232139925,328.4770496115679,True,1.1
